FrameID	Timestamp(s)	Delta(ms)	LocalDelta(ms)	Irregular?
311699	1298.745833	4.166667	5.748467	
311700	1298.750000	4.166667	13.340455	
311701	1298.754167	4.166667	2.715541	
311702	1298.758333	4.166667	1.712066	
311703	1298.762500	4.166667	1.752331	
311704	1298.766667	4.166667	1.921682	
311705	1298.770833	4.166667	5.962426	
311706	1298.775000	4.166667	3.539401	
311707	1298.779167	4.166667	2.533163	
311708	1298.783333	4.166667	1.551794	
311709	1298.787500	4.166667	1.324808	
311710	1298.791667	4.166667	1.419155	
311711	1298.795833	4.166667	1.446788	
311712	1298.800000	4.166667	3.662171	
311713	1298.804167	4.166667	4.793547	
311714	1298.808333	4.166667	2.021951	
311715	1298.812500	4.166667	2.252490	
311716	1298.816667	4.166667	1.626798	
311717	1298.820833	4.166667	1.372969	
311718	1298.825000	4.166667	1.483896	
311719	1298.829167	4.166667	3.782967	
311720	1298.833333	4.166667	2.306571	
311721	1298.837500	4.166667	1.708118	
311722	1298.841667	4.166667	2.612904	
311723	1298.845833	4.166667	1.432182	
311724	1298.850000	4.166667	1.093875	
311725	1298.854167	4.166667	1.214276	
311726	1298.858333	4.166667	1.150720	
311727	1298.862500	4.166667	1.005449	
311728	1298.866667	4.166667	1.326782	
311729	1298.870833	4.166667	3.127274	
311730	1298.875000	4.166667	2.685145	
311731	1298.879167	4.166667	1.970238	
311732	1298.883333	4.166667	2.340521	
311733	1298.887500	4.166667	1.306649	
311734	1298.891667	4.166667	1.346915	
311735	1298.895833	4.166667	1.408102	
311736	1298.900000	4.166667	1.239540	
311737	1298.904167	4.166667	1.407707	
311738	1298.908333	4.166667	3.141090	
311739	1298.912500	4.166667	2.129720	
311740	1298.916667	4.166667	1.327177	
311741	1298.920833	4.166667	2.486581	
311742	1298.925000	4.166667	1.089927	
311743	1298.929167	4.166667	0.941893	
311744	1298.933333	4.166667	0.823465	
311745	1298.937500	4.166667	1.076505	
311746	1298.941667	4.166667	0.883074	
311747	1298.945833	4.166667	0.948998	
311748	1298.950000	4.166667	0.996764	
311749	1298.954167	4.166667	2.734095	
311750	1298.958333	4.166667	2.460922	
311751	1298.962500	4.166667	1.668248	
311752	1298.966667	4.166667	2.275386	
311753	1298.970833	4.166667	1.243093	
311754	1298.975000	4.166667	0.969526	
311755	1298.979167	4.166667	1.071373	
311756	1298.983333	4.166667	1.653642	
311757	1298.987500	4.166667	1.914577	
311758	1298.991667	4.166667	1.493370	
311759	1298.995833	4.166667	1.678906	
311760	1299.000000	4.166667	1.809176	
311761	1299.004167	4.166667	1.142430	
311762	1299.008333	4.166667	0.973079	
311763	1299.012500	4.166667	0.907154	
311764	1299.016667	4.166667	1.079269	
311765	1299.020833	4.166667	1.192959	
311766	1299.025000	4.166667	0.939524	
311767	1299.029167	4.166667	0.924129	
311768	1299.033333	4.166667	0.845572	
311769	1299.037500	4.166667	1.230856	
311770	1299.041667	4.166667	2.222488	
311771	1299.045833	4.166667	2.056690	
311772	1299.050000	4.166667	1.820230	
311773	1299.054167	4.166667	1.336651	
311774	1299.058333	4.166667	1.890496	
311775	1299.062500	4.166667	1.237172	
311776	1299.066667	4.166667	0.971894	
311777	1299.070833	4.166667	1.087953	
311778	1299.075000	4.166667	0.900048	
311779	1299.079167	4.166667	0.894127	
311780	1299.083333	4.166667	1.022423	
311781	1299.087500	4.166667	1.253357	
311782	1299.091667	4.166667	0.997554	
311783	1299.095833	4.166667	1.082032	
311784	1299.100000	4.166667	1.062689	
311785	1299.104167	4.166667	2.751859	
311786	1299.108333	4.166667	1.938262	
311787	1299.112500	4.166667	1.468895	
311788	1299.116667	4.166667	1.389548	
